2025-08-15 05:16:29 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py"
Gen 0 - Best fitness: 850
Gen 1 - Best fitness: 820
Gen 2 - Best fitness: 910
Gen 3 - Best fitness: 820
Gen 4 - Best fitness: 880
Gen 5 - Best fitness: 820
Gen 6 - Best fitness: 880
Gen 7 - Best fitness: 840
Gen 8 - Best fitness: 850
Gen 9 - Best fitness: 750
Gen 10 - Best fitness: 820
Gen 11 - Best fitness: 720
Gen 12 - Best fitness: 690
Gen 13 - Best fitness: 750
Gen 14 - Best fitness: 760
Gen 15 - Best fitness: 690
Gen 16 - Best fitness: 690
Gen 17 - Best fitness: 720
Gen 18 - Best fitness: 560
Gen 19 - Best fitness: 590
Gen 20 - Best fitness: 650
Gen 21 - Best fitness: 690
Gen 22 - Best fitness: 780
Gen 23 - Best fitness: 880
Gen 24 - Best fitness: 550
Gen 25 - Best fitness: 520
Gen 26 - Best fitness: 490
Gen 27 - Best fitness: 590
Gen 28 - Best fitness: 450
Gen 29 - Best fitness: 880
Gen 30 - Best fitness: 520
Gen 31 - Best fitness: 620
Gen 32 - Best fitness: 680
Gen 33 - Best fitness: 720
Gen 34 - Best fitness: 660
Gen 35 - Best fitness: 520
Gen 36 - Best fitness: 680
Gen 37 - Best fitness: 780
Gen 38 - Best fitness: 660
Gen 39 - Best fitness: 620
Best timetable saved to timetable.json


2025-08-15 06:14:49 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py"
Gen 0 - Best fitness: 750
Gen 1 - Best fitness: 790
Gen 2 - Best fitness: 760
Gen 3 - Best fitness: 850
Gen 4 - Best fitness: 760
Gen 5 - Best fitness: 820
Gen 6 - Best fitness: 780
Gen 7 - Best fitness: 790
Gen 8 - Best fitness: 670
Gen 9 - Best fitness: 720
Gen 10 - Best fitness: 820
Gen 11 - Best fitness: 630
Gen 12 - Best fitness: 730
Gen 13 - Best fitness: 730
Gen 14 - Best fitness: 790
Gen 15 - Best fitness: 500
Gen 16 - Best fitness: 730
Gen 17 - Best fitness: 720
Gen 18 - Best fitness: 720
Gen 19 - Best fitness: 530
Gen 20 - Best fitness: 630
Gen 21 - Best fitness: 660
Gen 22 - Best fitness: 790
Gen 23 - Best fitness: 720
Gen 24 - Best fitness: 700
Gen 25 - Best fitness: 690
Gen 26 - Best fitness: 790
Gen 27 - Best fitness: 790
Gen 28 - Best fitness: 620
Gen 29 - Best fitness: 530
Gen 30 - Best fitness: 570
Gen 31 - Best fitness: 600
Gen 32 - Best fitness: 850
Gen 33 - Best fitness: 570
Gen 34 - Best fitness: 560
Gen 35 - Best fitness: 670
Gen 36 - Best fitness: 730
Gen 37 - Best fitness: 700
Gen 38 - Best fitness: 700
Gen 39 - Best fitness: 630
Best timetable saved to timetable.json


2025-08-15 07:42:28 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py"
Gen 0 - Best fitness: 790
Gen 1 - Best fitness: 820
Gen 2 - Best fitness: 850
Gen 3 - Best fitness: 850
Gen 4 - Best fitness: 880
Gen 5 - Best fitness: 910
Gen 6 - Best fitness: 820
Gen 7 - Best fitness: 910
Gen 8 - Best fitness: 650
Gen 9 - Best fitness: 850
Gen 10 - Best fitness: 750
Gen 11 - Best fitness: 630
Gen 12 - Best fitness: 880
Gen 13 - Best fitness: 750
Gen 14 - Best fitness: 750
Gen 15 - Best fitness: 750
Gen 16 - Best fitness: 790
Gen 17 - Best fitness: 730
Gen 18 - Best fitness: 590
Gen 19 - Best fitness: 690
Gen 20 - Best fitness: 620
Gen 21 - Best fitness: 720
